Variable / Field Name,Form Name,Section Header,,Item Header,,Field Label,"Choices, Calculations, OR Slider Labels",Field Type,,,Text Validation Min,Text Validation Max,,,Form Display Name
1437,qr62,,,,,"On how many occasions in your lifetime have you used tranquilizers or sedatives (without a doctor's prescription) (e.g. benzodiazepines such as valium or xanax; barbiturates, barbs or downers such as amytal, or seconal)?","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1438,qr62,,,,,On how many occasions OVER THE LAST 12 MONTHS have you used tranquilizers?,"1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1439,qr62,,,,,On how many occasions OVER THE LAST 30 DAYS have you used tranquilizers?,"1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1440,qr62,,,,,On how many occasions OVER THE LAST WEEK have you used tranquilizers?,"1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1441,qr62,,,,,Please indicate if you have used tranquilizers or sedatives (without a doctor's prescription) on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1442,qr62,,,,,Do you abuse more than one drug at a time when you use tranquilizers?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1443,qr62,,,,,Can you get through the week without using tranquilizers (unless you require it for medical reasons)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1444,qr62,,,,,Are you always able to stop using tranquilizers when you want?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1445,qr62,,,,,"Have you had ""blackouts"" or ""flashbacks"" as a result of tranquilizer use?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1446,qr62,,,,,Do you ever feel bad about your tranquilizer abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1447,qr62,,,,,Does your spouse (or parents) ever complain about your involvement with tranquilizers?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1448,qr62,,,,,Has tranquilizer abuse ever created problems between you and your spouse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1449,qr62,,,,,Have you ever lost friends because of your use of tranquilizers?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1450,qr62,,,,,Have you ever neglected your family or missed work because of your use of tranquilizers?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1451,qr62,,,,,Have you ever been in trouble at work because of tranquilizer abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1452,qr62,,,,,Have you ever lost a job because of tranquilizer abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1453,qr62,,,,,Have you ever gotten into fights when under the influence of tranquilizers?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1454,qr62,,,,,Have you engaged in illegal activities in order to obtain tranquilizers?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1455,qr62,,,,,Have you ever been arrested for possession of tranquilizers?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1456,qr62,,,,,Have you ever experienced withdrawal symptoms as a result of heavy tranquilizer intake?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1457,qr62,,,,,"Have you had medical problems as a result of your tranquilizer use (e.g. memory loss, hepatitis, convulsions, bleeding, etc.)?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1458,qr62,,,,,Have you ever gone to anyone for help for a tranquilizer problem?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1459,qr62,,,,,Have you ever been treated as an out-patient for problems related to tranquilizer abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1460,qr62,,,,,"When did you FIRST try tranquilizers or sedatives (without a doctor's prescription) (e.g. benzodiazepines such as valium or xanax; barbiturates, barbs or downers such as amytal, or seconal)?","1=11 years old or less, 2=12 years old, 3=13 years old, 4=14 years old, 5=15 years old, 6=16 years old, 7=17 years old, 8=18 years old or more",1,1,1,1,oo,,,62
1461,qr62,,,,,"On how many occasions in your lifetime have you used amphetamines (speed), methamphetamine (crystal meth) or desoxyn?","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1462,qr62,,,,,On how many occasions OVER THE LAST 12 MONTHS have you used amphetamines (speed)?,"1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1463,qr62,,,,,On how many occasions OVER THE LAST 30 DAYS have you used amphetamines (speed)?,"1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1464,qr62,,,,,On how many occasions OVER THE LAST WEEK have you used amphetamines (speed)?,"1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1465,qr62,,,,,"Please indicate if you have used amphetamines (speed), methamphetamine (crystal meth) or desoxyn on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1466,qr62,,,,,Do you abuse more than one drug at a time when you use amphetamines?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1467,qr62,,,,,Can you get through the week without using amphetamines (unless you require it for medical reasons)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1468,qr62,,,,,Are you always able to stop using amphetamines when you want?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1469,qr62,,,,,"Have you had ""blackouts"" or ""flashbacks"" as a result of amphetamine use?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1470,qr62,,,,,Do you ever feel bad about your amphetamine abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1471,qr62,,,,,Does your spouse (or parents) ever complain about your involvement with amphetamines?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1472,qr62,,,,,Has amphetamine abuse ever created problems between you and your spouse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1473,qr62,,,,,Have you ever lost friends because of your use of amphetamines?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1474,qr62,,,,,Have you ever neglected your family or missed work because of your use of amphetamines?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1475,qr62,,,,,Have you ever been in trouble at work because of amphetamine abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1476,qr62,,,,,Have you ever lost a job because of amphetamine abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1477,qr62,,,,,Have you ever gotten into fights when under the influence of amphetamines?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1478,qr62,,,,,Have you engaged in illegal activities in order to obtain amphetamines?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1479,qr62,,,,,Have you ever been arrested for possession of amphetamines?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1480,qr62,,,,,Have you ever experienced withdrawal symptoms as a result of heavy amphetamine intake?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1481,qr62,,,,,"Have you had medical problems as a result of your amphetamine use (e.g. memory loss, hepatitis, convulsions, bleeding, etc.)?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1482,qr62,,,,,Have you ever gone to anyone for help for an amphetamine problem?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1483,qr62,,,,,Have you ever been treated as an out-patient for problems related to amphetamine abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1484,qr62,,,,,"When did you FIRST try amphetamines (speed), methamphetamine (crystal meth) or desoxyn?","1=11 years old or less, 2=12 years old, 3=13 years old, 4=14 years old, 5=15 years old, 6=16 years old, 7=17 years old, 8=18 years old or more",1,1,1,1,oo,,,62
1485,qr62,,,,,On how many occasions in your lifetime have you used LSD (acid)?,"1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1486,qr62,,,,,On how many occasions OVER THE LAST 12 MONTHS have you used LSD (acid)?,"1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1487,qr62,,,,,On how many occasions OVER THE LAST 30 DAYS have you used LSD (acid)?,"1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1488,qr62,,,,,On how many occasions OVER THE LAST WEEK have you used LSD (acid)?,"1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1489,qr62,,,,,Please indicate if you have used LSD on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1490,qr62,,,,,Do you abuse more than one drug at a time when you use LSD?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1491,qr62,,,,,Can you get through the week without using LSD (unless you require it for medical reasons)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1492,qr62,,,,,Are you always able to stop using LSD when you want?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1493,qr62,,,,,"Have you had ""blackouts"" or ""flashbacks"" as a result of LSD use?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1494,qr62,,,,,Do you ever feel bad about your LSD abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1495,qr62,,,,,Does your spouse (or parents) ever complain about your involvement with LSD?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1496,qr62,,,,,Has LSD abuse ever created problems between you and your spouse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1497,qr62,,,,,Have you ever lost friends because of your use of LSD?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1498,qr62,,,,,Have you ever neglected your family or missed work because of your use of LSD?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1499,qr62,,,,,Have you ever been in trouble at work because of LSD abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1500,qr62,,,,,Have you ever lost a job because of LSD abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1501,qr62,,,,,Have you ever gotten into fights when under the influence of LSD?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1502,qr62,,,,,Have you engaged in illegal activities in order to obtain LSD?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1503,qr62,,,,,Have you ever been arrested for possession of LSD?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1504,qr62,,,,,Have you ever experienced withdrawal symptoms as a result of heavy LSD intake?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1505,qr62,,,,,"Have you had medical problems as a result of your LSD use (e.g. memory loss, hepatitis, convulsions, bleeding, etc.)?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1506,qr62,,,,,Have you ever gone to anyone for help for a LSD problem?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1507,qr62,,,,,Have you ever been treated as an out-patient for problems related to LSD abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1508,qr62,,,,,When did you FIRST try LSD (acid)?,"1=11 years old or less, 2=12 years old, 3=13 years old, 4=14 years old, 5=15 years old, 6=16 years old, 7=17 years old, 8=18 years old or more",1,1,1,1,oo,,,62
1509,qr62,,,,,On how many occasions in your lifetime have you used magic mushrooms or other hallucinogens (excluding LSD)?,"1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
