entry-level domain,questionnaire domain,Field Label,"Choices, Calculations, OR Slider Labels",Section Header,Form Display Name,Form Name,Field Type,Variable / Field Name,Allow,Questionnaire,Form Name with spaces,Text Validation Min,Text Validation Max,,title plus question formula,original question
,Attention,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Give close attention to detail and avoid careless mistakes,"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,11,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Give close attention to detail and avoid careless mistakes,Give close attention to detail and avoid careless mistakes
,Attention,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Sustain attention on tasks or play activities,"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,12,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Sustain attention on tasks or play activities,Sustain attention on tasks or play activities
,Attention,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Listen when spoken to directly,"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,13,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Listen when spoken to directly,Listen when spoken to directly
,Attention,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Follow through on instructions & finish school work/chores,"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,14,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Follow through on instructions & finish school work/chores,Follow through on instructions & finish school work/chores
,Attention,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Organize tasks and activities,"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,15,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Organize tasks and activities,Organize tasks and activities
,Attention,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Engage in tasks that require sustained mental effort,"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,16,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Engage in tasks that require sustained mental effort,Engage in tasks that require sustained mental effort
,Attention,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Keep track of things necessary for activities,"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,17,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Keep track of things necessary for activities,Keep track of things necessary for activities
,Attention,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Ignore extraneous stimuli,"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,18,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Ignore extraneous stimuli,Ignore extraneous stimuli
,Attention,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Remember daily activities,"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,19,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Remember daily activities,Remember daily activities
,Activity/Impulsivity,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Sit still (control movement of hands/feet or control squirming),"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,20,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Sit still (control movement of hands/feet or control squirming),Sit still (control movement of hands/feet or control squirming)
,Activity/Impulsivity,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Stay seated (when required by class rules/social conventions),"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,21,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Stay seated (when required by class rules/social conventions),Stay seated (when required by class rules/social conventions)
,Activity/Impulsivity,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Modulate motor activity (inhibit inappropriate running/climbing),"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,22,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Modulate motor activity (inhibit inappropriate running/climbing),Modulate motor activity (inhibit inappropriate running/climbing)
,Activity/Impulsivity,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Play quietly (keep noise level reasonable),"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,23,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Play quietly (keep noise level reasonable),Play quietly (keep noise level reasonable)
,Activity/Impulsivity,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Settle down and rest (control constant activity),"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,24,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Settle down and rest (control constant activity),Settle down and rest (control constant activity)
,Activity/Impulsivity,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Modulate verbal activity (control excess talking),"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,25,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Modulate verbal activity (control excess talking),Modulate verbal activity (control excess talking)
,Activity/Impulsivity,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Reflect on questions (control blurting out answers),"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,26,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Reflect on questions (control blurting out answers),Reflect on questions (control blurting out answers)
,Activity/Impulsivity,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Await turn (stand in line and take turns),"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,27,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Await turn (stand in line and take turns),Await turn (stand in line and take turns)
,Activity/Impulsivity,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Enter into conversation & games (control interrupting/intruding),"3=Far Below Average, 2=Below Average, 3=Somewhat Below Average, 0=Average, -1=Somewhat Above Average, -2=Above Average, -3=Far Above Average",,Attention/Activity/Impulsivity (SWAN),SWAN,1,28,autoAdvance,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Enter into conversation & games (control interrupting/intruding),Enter into conversation & games (control interrupting/intruding)
,Activity/Impulsivity,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Comment,,,Attention/Activity/Impulsivity (SWAN),SWAN,4,29,dontKnow,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Comment,Comment
,Activity/Impulsivity,"Attention/Activity/Impulsivity (SWAN)&#10;&#10;Dummy question, please ignore",,,Attention/Activity/Impulsivity (SWAN),SWAN,4,1029,dontKnow,SWAN,SWAN,,,,"Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Dummy question, please ignore","Dummy question, please ignore"
,,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Learner ID,,Please answer the following questions based on this child’s behavior. Please answer all questions (make your best guess if you are uncertain).  ,Comprehension and Conceptual Learning (LEAF),Comprehension_and_Conceptual_Learning,4,30,,LEAF,Comprehension and Conceptual Learning,,,,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Comprehension and Conceptual Learning (LEAF)&#10;&#10;Learner ID,Learner ID
,Comprehension and Conceptual Learning,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Doesn’t seem to understand things that are said to him/her.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Comprehension and Conceptual Learning (LEAF),Comprehension_and_Conceptual_Learning,1,31,autoAdvance,LEAF,Comprehension and Conceptual Learning,,,,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Comprehension and Conceptual Learning (LEAF)&#10;&#10;Doesn’t seem to understand things that are said to him/her.,Doesn’t seem to understand things that are said to him/her.
,Comprehension and Conceptual Learning,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Has difficulty following long conversations or explanations.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Comprehension and Conceptual Learning (LEAF),Comprehension_and_Conceptual_Learning,1,32,autoAdvance,LEAF,Comprehension and Conceptual Learning,,,,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Comprehension and Conceptual Learning (LEAF)&#10;&#10;Has difficulty following long conversations or explanations.,Has difficulty following long conversations or explanations.
,Comprehension and Conceptual Learning,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Poor comprehension of reading material.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Comprehension and Conceptual Learning (LEAF),Comprehension_and_Conceptual_Learning,1,33,autoAdvance,LEAF,Comprehension and Conceptual Learning,,,,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Comprehension and Conceptual Learning (LEAF)&#10;&#10;Poor comprehension of reading material.,Poor comprehension of reading material.
,Comprehension and Conceptual Learning,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Doesn’t “get the point” of what is being said.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Comprehension and Conceptual Learning (LEAF),Comprehension_and_Conceptual_Learning,1,34,autoAdvance,LEAF,Comprehension and Conceptual Learning,,,,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Comprehension and Conceptual Learning (LEAF)&#10;&#10;Doesn’t “get the point” of what is being said.,Doesn’t “get the point” of what is being said.
,Comprehension and Conceptual Learning,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Doesn’t really understand new learning materials.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Comprehension and Conceptual Learning (LEAF),Comprehension_and_Conceptual_Learning,1,35,autoAdvance,LEAF,Comprehension and Conceptual Learning,,,,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Comprehension and Conceptual Learning (LEAF)&#10;&#10;Doesn’t really understand new learning materials.,Doesn’t really understand new learning materials.
,Comprehension and Conceptual Learning,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Comment,,,Comprehension and Conceptual Learning (LEAF),Comprehension_and_Conceptual_Learning,4,36,dontKnow,LEAF,Comprehension and Conceptual Learning,,,,Comprehension and Conceptual Learning (LEAF)&#10;&#10;Comprehension and Conceptual Learning (LEAF)&#10;&#10;Comment,Comment
,Comprehension and Conceptual Learning,"Comprehension and Conceptual Learning (LEAF)&#10;&#10;Dummy question, please ignore",,,Comprehension and Conceptual Learning (LEAF),Comprehension_and_Conceptual_Learning,4,1036,dontKnow,LEAF,Comprehension and Conceptual Learning,,,,"Comprehension and Conceptual Learning (LEAF)&#10;&#10;Comprehension and Conceptual Learning (LEAF)&#10;&#10;Dummy question, please ignore","Dummy question, please ignore"
,,Math (LEAF)&#10;&#10;Learner ID,,Please answer the following questions based on this child’s behavior. Please answer all questions (make your best guess if you are uncertain).  ,Math (LEAF),Math,4,37,,LEAF,Math,,,,Math (LEAF)&#10;&#10;Math (LEAF)&#10;&#10;Learner ID,Learner ID
,Math,Math (LEAF)&#10;&#10;Math is difficult for him/her.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Math (LEAF),Math,1,38,autoAdvance,LEAF,Math,,,,Math (LEAF)&#10;&#10;Math (LEAF)&#10;&#10;Math is difficult for him/her.,Math is difficult for him/her.
,Math,Math (LEAF)&#10;&#10;Slow at math.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Math (LEAF),Math,1,39,autoAdvance,LEAF,Math,,,,Math (LEAF)&#10;&#10;Math (LEAF)&#10;&#10;Slow at math.,Slow at math.
,Math,Math (LEAF)&#10;&#10;Makes mistakes during arithmetic calculations or counting.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Math (LEAF),Math,1,40,autoAdvance,LEAF,Math,,,,Math (LEAF)&#10;&#10;Math (LEAF)&#10;&#10;Makes mistakes during arithmetic calculations or counting.,Makes mistakes during arithmetic calculations or counting.
,Math,Math (LEAF)&#10;&#10;Prefers reading and language subjects to math.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Math (LEAF),Math,1,41,autoAdvance,LEAF,Math,,,,Math (LEAF)&#10;&#10;Math (LEAF)&#10;&#10;Prefers reading and language subjects to math.,Prefers reading and language subjects to math.
,Math,Math (LEAF)&#10;&#10;Takes a long time to learn new mathematics operations or concepts.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Math (LEAF),Math,1,42,autoAdvance,LEAF,Math,,,,Math (LEAF)&#10;&#10;Math (LEAF)&#10;&#10;Takes a long time to learn new mathematics operations or concepts.,Takes a long time to learn new mathematics operations or concepts.
,Math,Math (LEAF)&#10;&#10;Comment,,,Math (LEAF),Math,4,43,dontKnow,LEAF,Math,,,,Math (LEAF)&#10;&#10;Math (LEAF)&#10;&#10;Comment,Comment
,Math,"Math (LEAF)&#10;&#10;Dummy question, please ignore",,,Math (LEAF),Math,4,1043,dontKnow,LEAF,Math,,,,"Math (LEAF)&#10;&#10;Math (LEAF)&#10;&#10;Dummy question, please ignore","Dummy question, please ignore"
,,Reading (LEAF)&#10;&#10;Learner ID,,Please answer the following questions based on this child’s behavior. Please answer all questions (make your best guess if you are uncertain).  ,Reading (LEAF),Reading,4,44,,LEAF,Reading,,,,Reading (LEAF)&#10;&#10;Reading (LEAF)&#10;&#10;Learner ID,Learner ID
,Reading,Reading (LEAF)&#10;&#10;Reading is slow.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Reading (LEAF),Reading,1,45,autoAdvance,LEAF,Reading,,,,Reading (LEAF)&#10;&#10;Reading (LEAF)&#10;&#10;Reading is slow.,Reading is slow.
,Reading,Reading (LEAF)&#10;&#10;Has trouble sounding out new words when reading.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Reading (LEAF),Reading,1,46,autoAdvance,LEAF,Reading,,,,Reading (LEAF)&#10;&#10;Reading (LEAF)&#10;&#10;Has trouble sounding out new words when reading.,Has trouble sounding out new words when reading.
,Reading,Reading (LEAF)&#10;&#10;Reading is hesitant or choppy; doesn’t read smoothly.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Reading (LEAF),Reading,1,47,autoAdvance,LEAF,Reading,,,,Reading (LEAF)&#10;&#10;Reading (LEAF)&#10;&#10;Reading is hesitant or choppy; doesn’t read smoothly.,Reading is hesitant or choppy; doesn’t read smoothly.
,Reading,Reading (LEAF)&#10;&#10;Makes mistakes when sounding out or pronouncing words in reading.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Reading (LEAF),Reading,1,48,autoAdvance,LEAF,Reading,,,,Reading (LEAF)&#10;&#10;Reading (LEAF)&#10;&#10;Makes mistakes when sounding out or pronouncing words in reading.,Makes mistakes when sounding out or pronouncing words in reading.
,Reading,Reading (LEAF)&#10;&#10;Skips or mistakes words during reading.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Reading (LEAF),Reading,1,49,autoAdvance,LEAF,Reading,,,,Reading (LEAF)&#10;&#10;Reading (LEAF)&#10;&#10;Skips or mistakes words during reading.,Skips or mistakes words during reading.
,Reading,Reading (LEAF)&#10;&#10;Comment,,,Reading (LEAF),Reading,4,50,dontKnow,LEAF,Reading,,,,Reading (LEAF)&#10;&#10;Reading (LEAF)&#10;&#10;Comment,Comment
,Reading,"Reading (LEAF)&#10;&#10;Dummy question, please ignore",,,Reading (LEAF),Reading,4,1050,dontKnow,LEAF,Reading,,,,"Reading (LEAF)&#10;&#10;Reading (LEAF)&#10;&#10;Dummy question, please ignore","Dummy question, please ignore"
,,Writing (LEAF)&#10;&#10;Learner ID,,Please answer the following questions based on this child’s behavior. Please answer all questions (make your best guess if you are uncertain).  ,Writing (LEAF),Writing,4,51,,LEAF,Writing,,,,Writing (LEAF)&#10;&#10;Writing (LEAF)&#10;&#10;Learner ID,Learner ID
,Writing,Writing (LEAF)&#10;&#10;Writing is slow.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Writing (LEAF),Writing,1,52,autoAdvance,LEAF,Writing,,,,Writing (LEAF)&#10;&#10;Writing (LEAF)&#10;&#10;Writing is slow.,Writing is slow.
,Writing,"Writing (LEAF)&#10;&#10;Written expression is very simple (basic, immature).","0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Writing (LEAF),Writing,1,53,autoAdvance,LEAF,Writing,,,,"Writing (LEAF)&#10;&#10;Writing (LEAF)&#10;&#10;Written expression is very simple (basic, immature).","Written expression is very simple (basic, immature)."
,Writing,"Writing (LEAF)&#10;&#10;Makes errors in grammar, punctuation, or spelling when writing sentences.","0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Writing (LEAF),Writing,1,54,autoAdvance,LEAF,Writing,,,,"Writing (LEAF)&#10;&#10;Writing (LEAF)&#10;&#10;Makes errors in grammar, punctuation, or spelling when writing sentences.","Makes errors in grammar, punctuation, or spelling when writing sentences."
,Writing,Writing (LEAF)&#10;&#10;Has difficulty explaining things or expressing self in writing.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Writing (LEAF),Writing,1,55,autoAdvance,LEAF,Writing,,,,Writing (LEAF)&#10;&#10;Writing (LEAF)&#10;&#10;Has difficulty explaining things or expressing self in writing.,Has difficulty explaining things or expressing self in writing.
,Writing,Writing (LEAF)&#10;&#10;Struggles with subjects that require writing.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Writing (LEAF),Writing,1,56,autoAdvance,LEAF,Writing,,,,Writing (LEAF)&#10;&#10;Writing (LEAF)&#10;&#10;Struggles with subjects that require writing.,Struggles with subjects that require writing.
,Writing,Writing (LEAF)&#10;&#10;Comment,,,Writing (LEAF),Writing,4,57,dontKnow,LEAF,Writing,,,,Writing (LEAF)&#10;&#10;Writing (LEAF)&#10;&#10;Comment,Comment
,Writing,"Writing (LEAF)&#10;&#10;Dummy question, please ignore",,,Writing (LEAF),Writing,4,1057,dontKnow,LEAF,Writing,,,,"Writing (LEAF)&#10;&#10;Writing (LEAF)&#10;&#10;Dummy question, please ignore","Dummy question, please ignore"
,,Processing speed (LEAF)&#10;&#10;Learner ID,,Please answer the following questions based on this child’s behavior. Please answer all questions (make your best guess if you are uncertain).  ,Processing speed (LEAF),Processing_speed,4,58,,LEAF,Processing speed,,,,Processing speed (LEAF)&#10;&#10;Processing speed (LEAF)&#10;&#10;Learner ID,Learner ID
