Domain,Field Label,"Choices, Calculations, OR Slider Labels",Form Display Name,Item Header,Form Name,Field Type,Variable / Field Name,Section header
Conduct/ODD,Teases others,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,14,
Anxiety/mood,Worries a lot,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,15,
Conduct/ODD,Takes things that do not belong to him or her,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,16,
Attention,Distracted easily,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,17,
Understanding & communicating,Concentrating on doing something for ten minutes?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,18,
Understanding & communicating,Remembering to do important things?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,19,
Understanding & communicating,Analysing and finding solutions to problems in day-to-day life?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,20,
Understanding & communicating,"Learning a new task, for example, learning how to get to a new place?","0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,21,
Understanding & communicating,Generally understanding what people say?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,22,
Understanding & communicating,Starting and maintaining a conversation?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,23,
Getting around,Standing for long periods such as 30 minutes?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,24,
Getting around,Standing up from sitting down?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,25,
Getting around,Moving around inside their home?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,26,
Getting around,Getting out of their home?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,27,
Getting around,Walking a long distance such as a kilometre [or equivalent]?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,28,
Self-care,Washing his or her whole body?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,29,
Self-care,Getting dressed?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,30,
Self-care,Eating?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,31,
Self-care,Staying by himself or herself for a few days?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,32,
Getting along with people,Dealing with people he or she does not know?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,33,
Getting along with people,Maintaining a friendship?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,34,
Getting along with people,Getting along with people who are close to him or her?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,35,
Getting along with people,Making new friends?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,36,
Life activities,Taking care of his or her household responsibilities?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,37,
Life activities,Doing his or her most important household tasks well?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,38,
Life activities,Getting all the household work done that is needed?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,39,
Life activities,Getting the household work done as quickly as needed?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,40,
Life activities,His or her day-to-day work/school?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,41,
Life activities,Doing his or her most important work/ school tasks well?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,42,
Life activities,Getting all the work done that is needed?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,43,
Life activities,Getting the work done as quickly as needed?,"0=None, 1=Mild, 2=Moderate, 3=Severe, 4=Extreme or cant do, 5=I don't know",WHODAS,"In the past 30 days, how much difficulty did the student have in:",WHODAS,1,44,
Reading/Dyslexia,Difficulty with spelling,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,45,
Reading/Dyslexia,Difficulty learning letter names,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,46,
Reading/Dyslexia,Difficulty learning phonics (sounding out words),"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,47,
Reading/Dyslexia,Read slowly,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,48,
Reading/Dyslexia,Read below grade level,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,49,
Reading/Dyslexia,Required extra help in school because of problems in reading and spelling,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,50,
Social Cognition,Poor understanding of interpersonal space,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,51,
Social Cognition,Difficulty knowing how others are reacting,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,52,
Social Cognition,Has trouble understanding how others are feeling,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,53,
Social Cognition,"Makes comments that show a lack of understanding of social situations, such as inappropriate jokes or insensitive remarks","0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,54,
Social Anxiety,Difficulty making or keeping friends,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,55,
Social Anxiety,Isolates self in social situations,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,56,
Social Anxiety,Feels anxious in new social situations,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,57,
Spatial,Handwriting is spatially disorganized,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,58,
Spatial,Papers look disorganized or messy,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,59,
Spatial,"On arithmetic problems, has difficulty keeping the numbers lined up in columns","0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,60,
Spatial,Drawings look immature for her/his age,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,61,
Math,Worse at math than at reading and spelling,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,62,
Math,"Makes careless errors in math, such as adding when the sign indicates subtraction","0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,63,
Math,Trouble learning new math concepts such as carrying or borrowing,"0=Never, 1=Rarely, 2=Sometimes, 3=Frequently, 4=Always, 5=I don't know",Colorado Learning Disabilities Questionnaire – Reading Subscale (CLDQ-R),Does/did the student have: ,Colorado,1,64,
Gross Motor Skills,"Difficulty acquiring new motor skills, such as learning how to ride a bike, skate, swim","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,65,"This questionnaire, for children and adolescents age 5 to 17, contains statements concerning the skills and behaviors of your child/student in various domains of development. Children are individuals. This means that their skills and behaviors vary from one child/student to another, and according to age. The statements in the questionnaire are followed by boxes marked Does not apply – Applies sometimes/to some extent – Applies. Tick the box that contains the statement that you think best corresponds to your student`s functioning in everyday situations, compared to children of their own age. Have in mind the student`s present functioning, i.e. within the last 6 months. To get the most correct picture of your student`s functioning, it is important that you complete the whole questionnaire.You will be asked if the student`s functioning in various domains leads to problems in daily living. Please consider whether these problems affect the student and others at home, in school and among friends. These questions are followed by four options: No – A little – A great deal – Very much. "
Gross Motor Skills,Difficulty throwing and catching a ball,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,66,
Gross Motor Skills,Difficulty running fast,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,67,
Gross Motor Skills,"Has difficulties or does not like to participate in game sports such as soccer/football, land hockey, basketball","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,68,
Gross Motor Skills,"Balance problems; for instance, has difficulty standing on one leg","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,69,
Gross Motor Skills,Often stumbles and falls,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,70,
Gross Motor Skills,Clumsy or awkward movements,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,71,
Fine Motor Skills,"Does not like to draw, has difficulties drawing figures that represent something","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,72,
Fine Motor Skills,"Difficulty handling, assembling and manipulating small objects","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,73,
Fine Motor Skills,Difficulty pouring water into a glass without spilling,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,74,
Fine Motor Skills,Often spills food onto clothes or table when eating,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,75,
Fine Motor Skills,Difficulty using knife and fork,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,76,
Fine Motor Skills,Difficulty buttoning or tying shoe-laces,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,77,
Fine Motor Skills,"Difficulty using a pen (e.g., presses too hard, hand is shaking)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,78,
Fine Motor Skills,"Has not developed clear hand preference, i.e., is neither clearly right-handed nor left-handed","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,79,
Fine Motor Skills,Writing is slow and laborious/hard to read the result,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,80,
Fine Motor Skills,"Immature pencil-grip, holds the pen in an unusual manner","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,81,
Fine Motor Skills,Do problems with motor function interfere with your student`s daily function?,"0=Not at all, 1=A little, 2=Pretty much, 3=Very much , 4=I don't know",5-15,,515,1,82,
Attention and concentration,Often fails to pay close attention to details or makes careless mistakes,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,83,
Attention and concentration,Often has difficulty sustaining attention in tasks or play activities,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,84,
Attention and concentration,Often does not seem to listen when spoken to directly,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,85,
Attention and concentration,"Problems following instructions and fails to finish schoolwork, chores, or duties)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,86,
Attention and concentration,Often has difficulty organizing tasks and activities,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,87,
Attention and concentration,"Often avoids, dislikes, or is reluctant to engage in tasks that require sustained mental effort (such as homework)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,88,
Attention and concentration,"Often loses things necessary for tasks or activities (e.g., toys, school equipment, pencils, books, sports gear or tools)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,89,
Attention and concentration,"Is often easily distracted by extraneous stimuli (e.g., irrelevant sounds like other people talking, cars driving by)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,90,
Attention and concentration,Is often forgetful in daily activitiesat school,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,91,
Over activityand impulsivity,"In constant motion (fidgets with fingers, plucks at things etc.)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,92,
Over activityand impulsivity,"Difficulty remaining seated (squirms in seat,gets up and moves about)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,93,
Over activityand impulsivity,"Often runs about or climbs excessively in situations in which is inappropriate, (more than their peers)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,94,
Over activityand impulsivity,Difficulty playing calmly and quietly,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,95,
Over activityand impulsivity,Is often ”on the go” or often acts as if ”driven by a motor”,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,96,
Over activityand impulsivity,Often talks excessively,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,97,
Over activityand impulsivity,Often blurts out answers before the question has been completed,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,98,
Over activityand impulsivity,"Difficulty awaiting turns (in games, during meals etc.)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,99,
Over activityand impulsivity,"Often interrupts or intrudes on others (e.g., butts into conversations or games)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,100,
Over activityand impulsivity,"Do problems with attention, concentration, over-activity or impulsivity interfere with your student`s daily function?","0=Not at all, 1=A little, 2=Pretty much, 3=Very much , 4=I don't know",5-15,,515,1,101,
Passivity/inactivity,Difficulty getting started on tasks/activities,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,102,
Passivity/inactivity,"Difficulty completing a task/activity, does not get things done like the rest of the group","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,103,
Passivity/inactivity,Often ”in own world” or daydreaming,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,104,
Passivity/inactivity,"Seems slow, inert, or lacking energy","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,105,
Passivity/inactivity,Does passivity or inactivity interfere with your student`s daily function?,"0=Not at all, 1=A little, 2=Pretty much, 3=Very much , 4=I don't know",5-15,,515,1,106,
Planning/organizing,"Difficulty understanding consequences of own actions (e.g., climbs in dangerous places, careless in traffic)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,107,
Planning/organizing,"Difficulty planning and preparing for tasks (e.g., collecting equipment needed for an outing or for school)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,108,
Planning/organizing,"Difficulty completing sequential tasks (e.g., young children: getting dressed in the morning without constant reminders; older children: completing home work without constant reminders)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,109,
Planning/organizing,Do problems with planning/organizing interfere with your student`s daily function?,"0=Not at all, 1=A little, 2=Pretty much, 3=Very much , 4=I don't know",5-15,,515,1,110,
Perception of space and directions,Difficulty finding his/her way around (even in well-knownplaces),"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,111,
Perception of space and directions,Seems disturbed by height differences (even slight) suchas in connection with climbing stairs etc.,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,112,
Perception of space and directions,Difficulty judging distance or size,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,113,
Perception of space and directions,"Difficulty comprehending orientation and spatial directions (young children turning clothes back to front, older children confusing letters such as b, p, d, or digits such as 6, 9)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,114,
Perception of space and directions,"Bumps into other people, especially in narrow places","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,115,
Concepts of time,"Poor concepts of time, e.g., does not have an intuitive feeling for how long “five minutes” or “one hour” take or is uncertain about how long ago something happened","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,116,
Concepts of time,"Has only a vague idea about what time it is, whether it is morning or afternoon, whether it is time or not to go to/leave school","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,117,
Concepts of time,"Repeatedly asks about when something is going to happen, e.g., how much time is left before an outing or before it is time to go to/leave school","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,118,
Concepts of time,Can read the clock mechanically but does not understand the actual time concept,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,119,
Perception of own body,"Does not have a sense of how clothes fit, does not straighten socks or trousers that have slid down","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,120,
Perception of own body,"Surprisingly poor perception of cold, pain etc.","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,121,
Perception of own body,"Poor body awareness (uncertain of size of own body in relation to the environment, e.g., bumps into or tumbles over things without intention to do so)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,122,
Perception of own body,"Oversensitive to touch (is irritated by tight clothing, perceives soft touch as rough etc.)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,123,
Perception of own body,Difficulty imitating other people’s movements,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,124,
Perception of visual forms and figures,"Tends to misinterpret pictures; e.g., may perceive a picture of a fried egg as that of a flower","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,125,
Perception of visual forms and figures,"Difficulty noticing small differences in shapes, figures, words and patterns that look alike","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,126,
Perception of visual forms and figures,"Difficulty drawing pictures such as that of a car, a house etc.(compared with their peers) ","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,127,
Perception of visual forms and figures,Difficulty with jigsaw puzzles,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,128,
Perception of visual forms and figures,"Do problems with perception of space and directions, time, own body, or forms and figures interfere with your student`s daily function?","0=Not at all, 1=A little, 2=Pretty much, 3=Very much , 4=I don't know",5-15,,515,1,129,
Memory,"Difficulty remembering information about personal data, such as date of birth, home address etc.","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,130,
Memory,"Difficulty remembering the names of other people (e.g., name of teacher, school peers)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,131,
Memory,"Difficulty remembering the names of weekdays, months and seasons","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,132,
Memory,"Difficulty remembering non-personal facts learned at school (e.g., historic events, chemical formulas etc.)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,133,
Memory,"Difficulty remembering what has occurred recently, as who has phoned or, what he/she ate a few hours ago etc.","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,134,
Memory,"Difficulty remembering events that occurred some time ago, such as what happened on a trip, what Christmas presents he/she got etc.","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,135,
Memory,Difficulty remembering where he/she put things,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,136,
Memory,Difficulty remembering appointments with peers or what home-work he/she has got,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,137,
Memory,"Difficulty learning rhymes, songs, multiplication tables etc.by heart","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,138,
Memory,Difficulty remembering long or multiple-step instructions,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,139,
Memory,"Difficulty acquiring new skills, such as rules of new play or games","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,140,
Memory,Do problems with memory interfere with your student`s daily function?,"0=Not at all, 1=A little, 2=Pretty much, 3=Very much , 4=I don't know",5-15,,515,1,141,
Comprehension of spoken language,Difficulty understanding explanations and instructions,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,142,
Comprehension of spoken language,Difficulty following stories read aloud,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,143,
Comprehension of spoken language,"Difficulty perceiving what other people say (often says “what?”, ”what do you mean?”)","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,144,
Comprehension of spoken language,"Difficulty with abstract concepts such as “the day after tomorrow”, ”in the right order”","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,145,
Comprehension of spoken language,Tends to misinterpret what is said,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,146,
Expressive language,Uncertain of speech sounds and tends to misarticulate words,"0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,147,
Expressive language,"Difficulty learning the names of colors, people, letters etc","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,148,
Expressive language,"Difficulty finding words or explaining to other people, says: “the, the, the ...”","0=Does not apply, 1=Applies sometimes, 2=Applies, 3=I don't know",5-15,,515,1,149,
