index,title,link,description,abbreviation,last_modified,last_modified_by,authors,year,use_with_assessments,indices_reference,ANIRUDH: LEFT column,index_license,index_language,indices_language_not_in_mhdb,LEFT column errors,indices_respondent,indices_subject,age_min,age_max,number_of_questions,number_of_questions (with ranges),minutes_to_complete,minutes_to_complete (with ranges),indices_age,indices_disorder,indices_disorder_category,ANIRUDH: LEFT column,ANIRUDH: RIGHT column,indices_disorder_subcategory,indices_disorder_subsubcategory
19,Adult Self Report: Age 18-59,https://aseba.org/adults/,The ASR is a self-administered instrument that examines diverse aspects of adaptive functioning and problems.,ASR/18-59,2019-11-19,AB,"Achenbach, T. M., & Rescorla, L. A.",2003,,176,,20,22200,"19500, 27600, 68500, 21200, 22100, 27800, 22600, 21400, 28200, 19000, 19100, 2700, 19900, 21500, 30800, 28550, 28500, 29000, 30300, 29200, 30500, 21800, 16900, 70000, 7200",,800,2900,18,59,126,126,10,10,5,,"1, 4, 5, 9, 16",,,"4, 5, 9",4
20,Youth Self Report ,https://www.nctsn.org/measures/youth-self-report-11-18,"The YSR is a self-administered instrument in which youth (ages 11-18) rate themselves for how true each item is now or has been during the past 6 months, using the same 3-point scale as the CBCL 6-18 and the TRF. YSR also has 14 socially desirable items that most youths endorse about themselves.",YSR,2019-11-19,AB,"Achenbach, T. M., & Rescorla, L. A.",2001,"17, 18",177,,20,22200,"29200, 27800, 42300, 19300, 68500, 26100, 30800, 29600, 26100",,"200, 600",2900,11,18,112,112,15,15,9,,,,,,
21,Child Behavior Checklist Caregiver and Teacher - 1.5-5,https://www.nctsn.org/measures/child-behavior-checklist-ages-15-5,The ASEBA preschool forms provide valuable information on specific behavioral and emotional problems of children ages 1½-5 years,C-TRF/1.5-5,2019-12-10,AB,"Achenbach, T. M., & Rescorla, L. A.",2001,16,,,20,22200,"29200, 22000, 19500, 2700, 30000, 27600, 68500, 66200, 22100, 33900, 73500, 27800, 23200, 35200, 21400, 28200, 19000, 19100, 19900, 41500, 21500, 28550, 28500, 29000, 74500, 30300, 30500, 21800, 3200, 7200, 19300",,"2600, 2700, 1800, 2500","200, 600, 1000",1.5,5,99,99,15,10-15,8,,"1, 4, 5, 7, 9, 12, 15",,,,
23,Children's Yale-Brown Obsessive Compulsive Scale,https://iocdf.org/wp-content/uploads/2016/04/05-CYBOCS-complete.pdf,"The Y-BOCS is a semi-structured clinician rated instrument to assess the severity of obsessive-compulsive disorder (OCD) symptoms that is administered as part of the KSADS interview, if indicated.",CY-BOCS,2019-11-30,AB,"Goodman, W. K., Scahill, L., Price, L. H., Rasmussen, S. A., Riddle, M. A., & Rapoport, J. L.",2007,,179,,20,22200,29200,,"2100, 2200, 2300, 2400, 2500","200, 600, 1000",6,17,19,19,10,10,"8, 9",154,,,,,
24,Screen for Child Anxiety Related Disorders - Child Version,http://www.midss.org/content/screen-child-anxiety-related-disorders-scared,"The SCARED is a child and parent self-report instrument used to screen for childhood anxiety disorders including general anxiety disorder, separation anxiety disorder, panic disorder, and social phobia. In addition, it assesses symptoms related to school phobias.",SCARED-C,2019-12-02,AB,"Birmaher, B., Khetarpal, S., Cully, M., Brent, D., & McKenzie, S.",1995,25,181,,20,22200,"3400, 22600, 2500, 70000, 29200, 30700, 73500",,"200, 600",2900,8,18,41,41,10,10,"8, 9",,5,,,,
25,Screen for Child Anxiety Related Disorders - Parent report ,http://www.midss.org/content/screen-child-anxiety-related-disorders-scared,"The SCARED is a child and parent self-report instrument used to screen for childhood anxiety disorders including general anxiety disorder, separation anxiety disorder, panic disorder, and social phobia. In addition, it assesses symptoms related to school phobias.",SCARED-P,2019-12-02,AB,"Birmaher, B., Khetarpal, S., Cully, M., Brent, D., & McKenzie, S.",1995,24,,,20,22200,"3400, 68500, 27800, 28200, 16800, 29200, 30700, 73500",,"2600, 2700","200, 600",8,18,41,41,10,10,"8, 9",,5,,,,
26,Beck's Depression Inventory - 2,https://www.psychcongress.com/saundras-corner/scales-screenersdepression/beck-depression-inventory-ii-bdi-ii,"The BDI-II is a 21-question multiple-choice self-report inventory, one of the most widely used instruments for measuring the severity of depression.",BDI,2019-12-02,AB,"Beck, A. T., Steer, R. A., & Brown, G. K.",1996,,,,20,22200,"29200, 28550, 68500, 27800, 28200, 19100, 30100, 19000, 22100, 21200, 21500, 21800, 22600, 2500, 73500, 29000, ",,"600, 800",2900,13,80,21,21,5,5,"5, 9",,4,,,,
27,Columbia-Suicide Severity Rating Scale,https://suicidepreventionlifeline.org/wp-content/uploads/2016/09/Suicide-Risk-Assessment-C-SSRS-Lifeline-Version-2014.pdf,"The C-SSRS is a 6-item scale used to assess the severity of suicidal thoughts and behaviors. It is administered by a clinician as an interview, only to those participants who screen positive for suicidal thoughts or behaviors.",C-SSRS,2019-12-19,AB,"Posner, K.",1996,,183,,20,22200,"29200, 19500, 22600, 29600, 22100, 27800, 72500, 30100, 30300, 28550, 28500, 68500, 30700, 21800, 73500, 33900, 10000, 23600, 24000, 24100, 16400, 16700, 24700, 25100, 16800, 16900, 26000, 40100, 3400, 19100, 2700, 19900, 30200, 41500, 29000, 21500, 42300, 31000, 30500, 75300, 70000, 29700, 19300",,"2200, 2300, 2400, 2500",2800,13,80,6,6,5,5,"5, 9",,,,,,
29,Adult Suicidal Ideation Questionnaire ,https://www.parinc.com/Products/Pkey/11,The ASIQ screens for suicidal ieation in college students and other adults,ASIQ,2019-12-02,AB,"Reynolds, W. M.",1991,,,,20,22200,,,800,2900,18,88,25,25,10,10,5,,,,,,
30,Children's Depression Inventory,https://www.pearsonclinical.co.uk/Psychology/generic/ChildrensDepressionInventory(CDI)/Resources/Technical.pdf,"The CDI is a 27 item, self-report measure of symptoms of depression among children and adolescents. The CDI assesses a range of depressive symptoms, including disturbed mood, impaired hedonic capacity, vegetative functions, self-evaluation, and interpersonal behaviors.",CDI,2019-12-19,AB,"Kovacs, M.",1979,,184,,20,22200,"29200, 22100, 27800, 22600, 35200, 28200, 19000, 21800, 7200, 27600, 19900, 21500, 30800, 29600",123,"200, 600, 1000",2900,7,17,27,27,15,15,"8, 9",,4,,,,
31,Suicidal Ideation Questionnaire,https://www.parinc.com/Products/Pkey/413,,SIQ,2020-03-11,AB,"Reynolds, W. M.",,,,,20,22200,"29200, 68500, 27800",,"600, 800",2900,12,18,,,,,,,,,,,
32,Difficulties in Emotion Regulation Scale,http://www.traumarecoveryclinic.org/uploads/8/2/0/1/82018704/5._ders.pdf,"The DERS is a brief, 36-tiem self-report questionnaire designed to assess multiple aspects of emotion dysregulation.",DERS,2019-12-19,AB,"Gratz, K. L., & Roemer, L.",2004,,,,20,22200,,,"600, 800",2900,11,17,36,36,,,"8, 9",,,,,,
34,State Trait Anxiety Inventory ,https://www.apa.org/pi/about/publications/caregivers/practice-settings/assessment/tools/trait-state,The STAI is used to measure anxiety in adults. A version is available for children. Helps distinguish feelings of anxiety from depression. The STAI Form clearly differentiates between the temporary condition of “state anxiety” verses the more general and long standing quality of ”trait anxiety.” The STAI has forty questions with a range of four possible responses to each (Likert scale).,STAI,2020-03-11,AB,"Spielberger, Gorsuch, Lushene, Vagg, & Jacobs",1983,,185,,20,22200,,,"600, 800",2900,18,,40,40,10,10,5,,5,,,,
36,Mood and Feelings Questionnaire Parent Report,https://devepi.duhs.duke.edu/measures/the-mood-and-feelings-questionnaire-mfq/,"The MFQ consists of a series of descriptive phrases regarding how the subject has been feeling or acting recently. Codings reflect whether the phrase was descriptive of the subject most of the time, sometimes, or not at all in the past two weeks.",MFQ-P,2020-03-06,AB,"Angold, A., & Costello, E. J.",1987,37,186,,20,22200,"29200, 22600, 28550, 28500, 3400",,"600, 750","600, 750",8,17,,,10,10,"8, 9",,4,,,,
37,Mood and Feelings Questionnaire Self Report,https://devepi.duhs.duke.edu/measures/the-mood-and-feelings-questionnaire-mfq/,"The MFQ consists of a series of descriptive phrases regarding how the subject has been feeling or acting recently. Codings reflect whether the phrase was descriptive of the subject most of the time, sometimes, or not at all in the past two weeks.",MFQ-SR,2020-03-06,AB,"Angold, A., & Costello, E. J.",1987,36,186,,20,22200,"29200, 22600, 28550, 28500, 73500, 21500, 42300, 3400",,"2600, 2700",200,8,,,,10,10,,,4,,,,
38,Affective Reactivity Index - Self Report,https://www.nimh.nih.gov/research/research-conducted-at-nimh/research-areas/clinics-and-labs/edb/mbdu/affective-reactivity-index-ari.shtml,The ARI-S is a concise scale for the dimensional assessment of irritability.,ARI-S,2019-12-10,AB,"Stringaris, A., Goodman, R., Ferdinando, S., Razdan, V., Muhrer, E., Leibenluft, E., & Brotman, M. A.",2012,51,,,20,22200,"28550, 27600, 68500, 22100, 27800, 22600, 23200, 28200, 19000, 21500, 29200, 21800, 7200",,"200, 400, 600",2900,,,7,7,,,8,,,,,,
39,Strengths and Weaknesses of ADHD Symptoms and Normal Behavior, http://www.adhd.net,The SWAN ADHD Rating Scale is an instrument that uses observer ratings to help assess attention deficit/hyperactivity disorder (ADHD) and evaluate problem behavior in children and adolescents.,SWAN,2020-03-11,AB,"Swanson, J., Schuck, S., Mann, M., Carlson, C., Hartman, K., Sergeant, J., . . . McCleary, R.",2001,,187,,20,22200,29200,,"800, 2600, 2700",2900,6,17,18,18,,,"8, 9",14,,,,,
40,Inventory of Callous and Unemotional Traits  - Parent Report,http://labs.uno.edu/developmental-psychopathology/ICU.html,"The Inventory of Callous-Unemotional Traits (ICUT) is a copyright protected 24-item questionnaire designed to provide a comprehensive assessment of callous and unemotional traits.  These traits have proven to be important for designating a distinct subgroup group of antisocial and aggressive youth. The ICUT has three subscales: Callousness, Uncaring, and Unemotional.",ICU-P,2020-01-30,AB,"Frick, P. J.",2004,160,188,,20,22200,"29200, 68500, 21200, 22100, 27800, 23200, 35200, 28200, 19000, 28550, 28500, 29000, 21800, 24100, 21500, 30500, 42300, 70000, 26000, 2500, 26900, 24900",,"2600, 2700","200, 600, 1000",,,24,24,15,10-15,,,,,,,
41,Autism Spectrum Screening Questionnaire,https://psychology-tools.com/test/autism-spectrum-screening-questionnaire,The ASSQ is a 27-item checklist for completion by lay informants when assessing symptoms characteristic of Asperger's Syndrome or high-functioning autism spectrum disorders.,ASSQ,2019-12-10,AB,"Ehlers, S., Gillberg, C., & Wing, L.",1999,,,,20,22200,,,"2100, 2200, 2300, 2400, 2500","200, 600, 750, 1000",7,16,27,27,10,5-10,"8, 9",13,13,,,,
42,Social Communication Questionnaire,https://www.wpspublish.com/scq-social-communication-questionnaire,"The SCQ consists of forty yes-or-no questions, which a parent can complete in around ten minutes. It is brief and easy to understand, yet provides valuable information on a child’s body movements, use of language or gestures, and style of interacting. There are two versions of the SCQ. Usually, the SCQ is used as a screening instrument to help identify which children may have an autism spectrum disorder. It is not meant to provide a detailed diagnosis, but to indicate whether a child needs a more careful and in-depth evaluation.",SCQ,2019-12-10,AB,"Rutter, Bailey, Lord, Berument",2003,,189,,20,22200,"21200, 22100, 73500, 27800, 22600, 23200, 2500, 35200, 28200, 19000, 19100, 21500, 29000, 29600, 29200, 21800",,"2600, 2700","200, 600",4,,40,40,10,5-10,,13,,,,,
43,Social Responsiveness Scale-2,https://www.wpspublish.com/srs-2-social-responsiveness-scale-second-edition?gclid=Cj0KCQjw_absBRD1ARIsAO4_D3t_DiPhhFApj0q3LK3aPW7tBJKFTU2XqpB4Ls-LRLwwneq03KS4M7AaAgPuEALw_wcB,"The SRS-2 maintains continuity with the original instrument as an efficient quantitative measure of the various dimensions of interpersonal behavior, communication, and repetitive/stereotypic behavior characteristic of autism spectrum disorders (ASD).",SRS-2,2020-03-11,AB,Constantino & Gruber,2012,,190,,20,22200,"28550, 21200, 22100, 27800, 22600, 28200, 19000, 21500, 21800",,"1800, 2500, 2600, 2700","200, 600, 1000",5,17,,,15,15-20,"8, 9",13,,,,,
45,Columbia Impairment Scale - Youth Version,https://eprovide.mapi-trust.org/instruments/columbia-impairment-scale,"The CIS is a 13 item parent report scale that assesses global functioning in domains of interpersonal relations, psychopathology, school performance, use of leisure time; monitors progress after 6 months of treatment.",CIS,2019-12-19,AB,"Bird, H., Gould, M., Staghezza, B., Chen, J., Hoven, C., Shaffer, D., & Fisher, P.",1993,,191,,20,22200,,,"200, 600, 1000",2900,4,15,13,13,,,"8, 9",,,,,,
46,The World Health Organization Disability Assessment Schedule 2.0 - Parent Report,https://www.who.int/classifications/icf/whodasii/en/,"The WHODAS is a generic assessment instrument for health and disability. It assesses function across domains of cognition, mobility, self-care, getting along, life activities, and participation.",WHODAS 2.0-P,2020-03-12,AB,World Health Organization,2010,,192,,20,22200,"68500, 19000, 28550, 28500, 21500, 30800, 2500",,"2600, 2700","200, 600",,,36,36,5,5,,,,,,,
48,Adverse Childhood Experience Scale,https://www.ncjfcj.org/sites/default/files/Finding%20Your%20ACE%20Score.pdf,"Adverse childhood experiences (ACEs) include verbal, physical, or sexual abuse, as well as family dysfunction (e.g., an incarcerated, mentally ill, or substance-abusing family member; domestic violence; or absence of a parent because of divorce or separation). ACEs have been linked to a range of adverse health outcomes in adulthood, including substance abuse, depression, cardiovascular disease, diabetes, cancer, and premature mortality.",ACES,2019-12-10,AB,Centers for Disease Control and Prevention,1997,,193,,20,22200,29200,,"600, 800",2900,18,85,10,10,,,5,,,,,,
49,Alabama Parenting Questionnaire - Parent Report,https://cyfar.org/sites/default/files/PsychometricsFiles/Parenting%20Questionnaire-Alabama%20%28parents%20of%20children%206-18%29_0.pdf,"The APQ measures is a 42 item questionnaire measuring five domains of parenting that are relevant to the etiology and treatment of child externalizing problems: positive involvement, supervision/monitoring, use of positive discipline, consistency in the use of such discipline, and use of corporal punishment.",APQ-P,2019-12-10,AB,"Frick, P. J.",1991,50,,,20,22200,"68500, 22100, 22600, 29200, 21500",,2600,"200, 400, 600",6,18,42,42,15,15,"8, 9",,,,,,
50,Alabama Parenting Questionnaire - Self-Report,https://cyfar.org/sites/default/files/PsychometricsFiles/Parenting%20Questionnaire-Alabama%20%28parents%20of%20children%206-18%29_0.pdf,"The APQ measures is a 42 item questionnaire measuring five domains of parenting that are relevant to the etiology and treatment of child externalizing problems: positive involvement, supervision/monitoring, use of positive discipline, consistency in the use of such discipline, and use of corporal punishment.",APQ,2019-12-10,AB,"Frick, P. J.",1991,49,,,20,22200,"68500, 22100, 22600, 29200, 21500",,"200, 400, 600",2900,6,18,42,42,15,15,"8, 9",,,,,,
51,Affective Reactivity Index - Parent Report ,https://www.nimh.nih.gov/research/research-conducted-at-nimh/research-areas/clinics-and-labs/edb/mbdu/affective-reactivity-index-ari.shtml,The ARI-P is a concise scale for the dimensional assessment of irritability.,ARI-P,2019-12-10,AB,"Stringaris, A., Goodman, R., Ferdinando, S., Razdan, V., Muhrer, E., Leibenluft, E., & Brotman, M. A.",2012,38,,,20,22200,"28550, 27600, 68500, 22100, 73500, 27800, 22600, 23200, 28200, 19000, 21500, 29200, 21800, 7200",,2600,"200, 400, 600",,,7,7,,,8,,,,,,
53,Alcohol Use Disorders Identification Test ,https://www.drugabuse.gov/sites/default/files/files/AUDIT.pdf,"The AUDIT is a simple, 10-item form developed by the World Health Organization to screen for problem or hazardous alcohol use in a clinical setting.",AUDIT,2019-12-10,AB,World Health Organization,1989,,,,20,22200,"3400, 23600, 70400, 27600, 68500, 30700, 21200, 22100, 42300, 73500, 27800, 22600, 23200, 2500, 24100, 40100, 28200, 19000, 70900, 19100, 41500, 3900, 21500, 30800, 26900, 28500, 29000, 29600, 30500, 29200, 72500, 21800, 19900, 7200, 19300",,800,2900,,,10,10,5,5,,,,,,,1
54,Barratt Simplified Measure of Social Status,http://socialclassoncampus.blogspot.com/2012/06/barratt-simplified-measure-of-social.html,,BSMMS,2019-12-10,AB,"Barratt, W.",2006,,,,20,22200,,,800,2900,,,25,25,,,,,,,,,
56,"Conners Adult ADHD Rating Scale – Self Report, Short Version ",https://documents.acer.org/caars-self-s-int_1.pdf,"The CAARS-S:S is a 26-item self-report questionnaire assessing ADHD symptoms in adults (ages 18 and up). Individuals are asked to rate themselves on a range of symptoms and behaviors associated with ADHD in adults, using a 4-point scale: 0-Not at all, never, 1-Just a little, once in a while, 2-Pretty much, often, 3-Very much, very frequently.",CAARS-S:S,2019-08-14,AKr,"Conners, C. K., Erhardt, D., & Sparrow, E.",1999,,195,,20,22200,,,800,2900,18,80,26,,,,,14,,,,,
57,Children's Coping Strategies Checklist ,https://educationendowmentfoundation.org.uk/projects-and-evaluation/evaluating-projects/measuring-essential-skills/spectrum-database/childrens-coping-strategies-checklist/,The CCSC is a self-report inventory in which children describe their coping efforts.,CCSC,2019-12-19,AB,"Ayers, T. S., & Sandler, N.",1991,,,,20,22200,,,"200, 600, 1000",2900,9,13,52,52,5,5,"8, 9",,,,,,
58,Children’s Depression Inventory - Parent Report ,,"The CDI is a 27 item, parent-report measure of symptoms of depression among children and adolescents. The CDI assesses a range of depressive symptoms, including disturbed mood, impaired hedonic capacity, vegetative functions, self-evaluation, and interpersonal behaviors.",CDI-P,2019-11-19,AB,"Kovacs, M.",1992,,184,,20,22200,,,"2600, 2700","200, 600, 1000",7,17,,,,,"8, 9",,4,,,,
59,Children's Perception of Interparental Conflict Scale ,http://www.midss.org/childrens-perception-interparental-conflict-scale-cpic,"Guided by Grych and Fincham's theoretical framework for investigating the relation between interparental conflict and child adjustment, The Children's Perception of Interparental Conflict Scale (CPIC) was developed to assess children's views of several aspects of marital conflict.",CPIC,2019-12-19,AB,"Fincham, F. D.",1992,,196,,20,22200,,,"200, 600, 1000",2900,,,51,51,10,10,8,,,,,,
60,Distress Tolerance Scale ,https://www.millisecond.com/download/library/distresstolerancescale/,"The DTS, a 15-item self-report questionnaire, measures emotional distress tolerance.",DTS,2019-12-19,AB,"Simons, J. S., & Gaher, R. M.",2005,,197,,20,22200,,,"600, 800",2900,,,15,15,5,5,,,,,,,
61,Edinburgh Handedness Questionnaire,http://www.brainmapping.org/shared/Edinburgh.php,"The EHQ is a measurement scale used to assess the dominance of a person’s right or left hand in everyday activities. The inventory can be used by an observer assessing the person, or by a person self-reporting hand use. The EHQ includes a list of activities, and asks the participant to indicate “which hand you prefer for that activity?” and “do you ever use the other hand for that activity?” This questionnaire was updated by Mark Cohen in 2008, and is adapted from Oldfield, 1971.",EHQ,2019-12-19,AB,"Cohen, M. S.",2008,,,,20,22200,,,100,2900,6,85,15,15,,,"5, 8, 9",,,,,,
62,The European School Survey Project on Alcohol and Other Drugs ,http://www.espad.org/,The ESPAD is an adaptive questionnaire. It consists of a 16-question drug and alcohol screening form and additional follow up questions only for substances that a participant endorses.,ESPAD,2020-03-11,AB,,,,198,,20,22200,29200,,600,2900,10,,16,16,15,15,,,16,,,,
63,Financial Support Questionnaire,http://www.ned.org/docs/grants/Financial-Questionnaire-PDF.pdf,,FSQ,2020-01-27,AB,,,,,,20,22200,,,100,2900,,,41,41,,,5,,,,,,
64,Fagerstrom Test for Nicotine Dependence,https://cde.drugabuse.gov/instrument/d7c0b0f5-b865-e4de-e040-bb89ad43202b,"The FTND is a self-administered questionnaire that consists of 6 questions, and examines nicotine consumption and intake habits in those that smoke cigarettes. It is used as a screening instrument that assesses nicotine dependence in adults who are currently smokers or have been in the past two years. Level of nicotine dependence is scored on a scale from 0-10, with 0-2: very low dependence and 8-10: very high dependence.",FTND,2020-01-27,AB,"Heatherton, T. F., Kozlowski, L. T., Frecker, R. C., & Fagerstrom, K. O.",1991,,199,,20,22200,,,"2200, 2300, 2400, 2500",2800,18,,6,6,5,5,5,,,,,,8
65,Modified Fagerstrom Tolerance Questionnaire - Adolescents ,https://cancercontrol.cancer.gov/brp/tcrb/guide-measures/mftq.html,"The FTQA is a self-administered questionnaire consists of 7 questions, and is a modified version of the FTND that aims to assess nicotine tolerance in adolescents.",FTQA,2020-03-06,AB,Fagerstrom,,,200,,20,22200,,,,,14,20,7,7,5,5,9,,,,,,8
66,Internet Addiction Test,https://psychology-tools.com/test/internet-addiction-assessment,"The IAT is a 20-item scale that measures characteristics and behaviors associated with compulsive use of the Internet that include compulsivity, escapism, and dependency. Questions also assess problems related to addictive use in personal, occupational, and social functioning.",IAT,2020-01-30,AB,"Young, K.",1998,,201,,20,22200,"68500, 27800, 22600, 23200, 28200, 73500, 3400, 28550, 28500",,"600, 800",2900,,,18,18,10,5-10,"5, 9",,,,,,
68,National Institute on Drug Abuse Quick Screen Assist,https://www.drugabuse.gov/,The NIDA Quick Screen and Assist is used to screen for substance use and severity over the lifetime and within the past year.,NIDA,2020-03-08,AB,National Institute on Drug Abuse,,,202,,20,22200,,,800,2900,11,,,,15,15,"5, 9",,,,,10,
69,Negative Life Events Questionnaire - Parent Version,,"The NLES-Parent focuses on family, community, and school-based stressors that children may be exposed to and are known to be related to negative physical and mental health outcomes. Parents are asked to rate whether the event occurred, whether the child was aware, and the child's level of resulting stress. Administration of this checklist includes the General Coping Efficacy sub-scale.",NLES-P,2020-03-08,AB,,,,203,,20,22200,"29200, 3400",,"2600, 2700","200, 600",8,18,,,10,10,"8, 9",,,,,,
